datetime,date,hour_sin,hour_cos,month_sin,month_cos,pollution_stagnation_index,wind_x_vector,wind_y_vector,total_generation_mw,temperature_2m (°C),rain (mm),relative_humidity_2m (%),wind_direction_10m (°),wind_speed_10m (km/h),pm25,cluster_label,cluster_probability,outlier_score,umap_1,umap_2,cluster_label_str,is_noise
2023-08-18 09:00:00,2023-08-18,0.9967041473343766,-1.0080422127217523,-1.0552271072283872,-0.1852944192737363,-0.3723023470665859,0.6879056793231747,0.2727415413842894,-0.4656565283675415,0.8795903344107685,-0.243459717101822,0.259123655518792,-0.9865320514095224,-0.0705227172036704,1.1108002364257492,1,0.9705118313078045,0.2791750404071616,4.1747236,7.572743,1,Clustered
2023-08-18 14:00:00,2023-08-18,-0.7139151063454715,-1.2323419483616005,-1.0552271072283872,-0.1852944192737363,-0.4785849139286243,0.741730154634743,0.5143784198569319,-0.3340535604439638,1.751036663846,-0.243459717101822,-1.0944773297551194,-0.9139803411410284,0.1245102112682704,-0.0557329587835165,1,0.9919670686632754,0.2632396647621561,4.2249274,8.800959,1,Clustered
2023-08-24 21:00:00,2023-08-24,-1.0074109701638505,0.9879965333552064,-1.0552271072283872,-0.1852944192737363,-0.4784450327916473,0.3260412569415886,0.4965347677667438,-1.2899066958888967,0.7029458081738973,-0.243459717101822,0.3901172992549769,-0.7585123905656843,-0.3187464443497771,0.3856757156033531,-1,0.0,0.3825835275691758,1.9817669,7.3117747,-1,Noise
2023-08-25 00:00:00,2023-08-25,-0.0053534114147367,1.4013896931788383,-1.0552271072283872,-0.1852944192737363,-0.2582144661423701,0.1429877843505942,0.4439821279229388,-1.276053751896941,0.3732093591984041,-0.243459717101822,1.045085517935902,-0.6652316202204779,-0.513779372821718,1.2954143860440133,-1,0.0,0.39832047196786136,2.1704998,6.5596485,-1,Noise
2023-08-25 01:00:00,2023-08-25,0.3614251111416562,1.3532969773563088,-1.0552271072283872,-0.1852944192737363,-0.0986398880762151,0.1814328795922176,0.2619879891364943,-1.276053751896941,0.3496567557001546,-0.243459717101822,1.0887500658479636,-0.7688769206040406,-0.6378912363947714,1.237521497744493,-1,0.0,0.35966789628397017,2.1884024,6.4493513,-1,Noise
2023-08-25 03:00:00,2023-08-25,0.9967041473343766,0.9879965333552068,-1.0552271072283872,-0.1852944192737363,2.633410566684336,-0.1822116364469408,-0.3297077251366159,-1.3176125838728077,0.4085382644457784,-0.243459717101822,1.00142097002384,-1.2145517122533602,-1.3825624178330913,1.096137273862687,-1,0.0,0.5770904353563803,2.8086803,5.5534844,-1,Noise
2023-08-25 06:00:00,2023-08-25,1.4117699784467337,-0.0100228396832727,-1.0552271072283872,-0.1852944192737363,-0.0556543014968521,0.0482025508293216,0.3231454199427312,-1.3453184718567188,0.137683324215909,-0.243459717101822,1.4817309970565185,-0.6341380301054091,-0.6910820350689371,1.2600149234642817,-1,0.0,0.3833770881373731,2.8270922,6.24464,-1,Noise
2023-08-25 07:00:00,2023-08-25,1.3634826698907698,-0.3753232836843744,-1.0552271072283872,-0.1852944192737363,0.1216274462732348,0.0481002575412582,0.2066104917047353,-1.3245390558687855,0.3614330574492795,-0.243459717101822,1.1324146137600253,-0.6859606802971905,-0.7974636324172685,1.2733736702611236,-1,0.0,0.3859231172542774,2.8562028,6.2109513,-1,Noise
2023-08-25 09:00:00,2023-08-25,0.9967041473343766,-1.0080422127217523,-1.0552271072283872,-0.1852944192737363,0.3687984449106363,0.1347968630209625,-0.5706874317449782,-1.2899066958888967,0.997353351902016,-0.243459717101822,0.0408009159584837,2.185014140327496,-0.9215754959903216,1.081350571756405,-1,0.0,0.45746973951342157,3.3450723,2.9142654,-1,Noise
2023-08-25 10:00:00,2023-08-25,0.7032082835159983,-1.2323419483616,-1.0552271072283872,-0.1852944192737363,-0.1659154695849525,0.4126915446557966,-0.3297077251366159,-1.3176125838728077,1.291760895630135,-0.243459717101822,-0.6141673027224412,-1.2145517122533602,-0.6024307039453275,1.000308900317515,-1,0.0,0.38532359640111213,4.4420466,7.808314,-1,Noise
2023-08-25 14:00:00,2023-08-25,-0.7139151063454715,-1.2323419483616005,-1.0552271072283872,-0.1852944192737363,-1.074014622540893,1.1151944663053202,0.1339566342799286,-1.3314655278647634,1.7745892673442498,-0.243459717101822,-1.400129165139551,-1.1109064118697975,0.425924737088543,0.0543900053741434,-1,0.0,0.3929998654300283,4.283509,8.786167,-1,Noise
